,Age,SibSp,Parch,LogFare,Sex_male,Sex_female,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,22.0,1,0,2.1102132003465894,1,0,0,0,1,0,0,1
1,38.0,1,0,4.2805931204649,0,1,1,0,0,1,0,0
2,26.0,0,0,2.188856327665703,0,1,0,0,1,0,0,1
3,35.0,1,0,3.9908341858524357,0,1,1,0,0,0,0,1
4,35.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
5,24.0,0,0,2.246892662898172,1,0,0,0,1,0,1,0
6,54.0,0,0,3.967694202798607,1,0,1,0,0,0,0,1
7,2.0,3,1,3.0944457464900235,1,0,0,0,1,0,0,1
8,27.0,0,2,2.495953738718064,0,1,0,0,1,0,0,1
9,14.0,1,0,3.436268471383741,0,1,0,1,0,1,0,0
10,4.0,1,1,2.8735646395797834,0,1,0,0,1,0,0,1
11,58.0,0,0,3.3160025355989236,0,1,1,0,0,0,0,1
12,20.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
13,39.0,1,5,3.4742929367327062,1,0,0,0,1,0,0,1
14,14.0,0,0,2.180891922715322,0,1,0,0,1,0,0,1
15,55.0,0,0,2.833213344056216,0,1,0,1,0,0,0,1
16,2.0,4,1,3.405355391810819,1,0,0,0,1,0,1,0
17,24.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
18,31.0,1,0,2.9444389791664403,0,1,0,0,1,0,0,1
19,24.0,0,0,2.1071782966514356,0,1,0,0,1,1,0,0
20,35.0,0,0,3.295836866004329,1,0,0,1,0,0,0,1
21,34.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
22,15.0,0,0,2.2004637699272855,0,1,0,0,1,0,1,0
23,28.0,0,0,3.597312260588446,1,0,1,0,0,0,0,1
24,8.0,3,1,3.0944457464900235,0,1,0,0,1,0,0,1
25,38.0,1,5,3.4777725458882283,0,1,0,0,1,0,0,1
26,24.0,0,0,2.1071782966514356,1,0,0,0,1,1,0,0
27,19.0,3,2,5.575949103146316,1,0,1,0,0,0,0,1
28,24.0,0,0,2.1837114628556327,0,1,0,0,1,0,1,0
29,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
30,40.0,0,0,3.357621598945279,1,0,1,0,0,1,0,0
31,24.0,1,0,4.993969182787072,0,1,1,0,0,1,0,0
32,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
33,66.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
34,28.0,1,0,4.420896324687287,1,0,1,0,0,1,0,0
